racetime_ms,x,y,z,speed,turning,dist_to_next_cp,action
5320,338.36004638671875,88.03823852539062,749.4584350585938,216,0.0,776.6233239500409,up
5370,341.36859130859375,88.04117584228516,749.6459350585938,217,0.0,774.2785373465424,up
5420,344.3984375,88.03931427001953,749.734130859375,219,0.0,771.8634608373811,up
5470,347.44659423828125,88.03243255615234,749.7498779296875,220,0.0,769.3955829000399,up
5520,350.5118713378906,88.02240753173828,749.7136840820312,221,0.0,766.8876211961589,up
5570,353.59375,88.01229095458984,749.638916015625,222,-1.0,764.3478455964062,up
5620,356.69085693359375,88.00776672363281,749.5195922851562,224,-1.0,761.7742471805041,up
5670,359.8013916015625,88.00955963134766,749.342529296875,225,-1.0,759.1604857940952,up
5720,362.92266845703125,88.01515197753906,749.0863037109375,226,-1.0,756.4957241292603,up
5780,366.67413330078125,88.02635192871094,748.6373291015625,227,-1.0,753.2150147260924,up
5820,369.1734924316406,88.03692626953125,748.2376098632812,228,-1.0,750.9727724428024,up
5880,372.91058349609375,88.04948425292969,747.4750366210938,229,0.0,747.5256674074111,up
5920,375.39251708984375,88.05213165283203,746.867431640625,230,0.0,745.1778253399295,up
5980,379.1009521484375,88.04690551757812,745.8224487304688,232,0.0,741.5899934292491,up
6030,382.1829528808594,88.03557586669922,744.857177734375,233,0.0,738.5519892691183,up
6080,385.2631530761719,88.021240234375,743.8297729492188,234,0.0,735.479718527932,up
6130,388.3447570800781,88.0082778930664,742.75537109375,235,-1.0,732.3798653350431,up
6180,391.41448974609375,88.00762939453125,741.63818359375,235,-1.0,729.2663537484406,up
6230,394.4632873535156,88.01307678222656,740.4671630859375,235,-1.0,726.1390903812778,up
6280,397.4836120605469,88.02066040039062,739.2282104492188,235,-1.0,722.9950647957629,up
6330,400.46282958984375,88.02889251708984,737.8963623046875,234,-1.0,719.8289357437948,up
6390,403.97357177734375,88.03965759277344,736.1500244140625,235,-1.0,715.9926287722764,up
6430,406.27532958984375,88.04515075683594,734.8859252929688,237,0.0,713.4059803584055,up
6490,409.6741638183594,88.0500717163086,732.8566284179688,238,0.0,709.4885849719059,up
6540,412.4613037109375,88.04570770263672,731.0580444335938,239,1.0,706.1946350310044,up
6590,415.2264099121094,88.03394317626953,729.1947021484375,240,1.0,702.8785967924061,up
6640,417.9936218261719,88.01810455322266,727.304443359375,242,1.0,699.5444429405051,up
6690,420.7834777832031,88.00897979736328,725.418701171875,243,1.0,696.195869101883,up
6740,423.61956787109375,88.02076721191406,723.5737915039062,244,1.0,692.8374816002982,up
6790,426.5198974609375,88.03418731689453,721.80126953125,245,1.0,689.4724198212884,up
6840,429.49322509765625,88.04529571533203,720.1226806640625,246,0.0,686.1065811664569,up
6900,433.15631103515625,88.05099487304688,718.2420654296875,248,0.0,682.0733506904243,up
6950,436.2794189453125,88.04739379882812,716.7769165039062,249,0.0,678.7185267719301,up
7000,439.455810546875,88.03758239746094,715.3883666992188,250,0.0,675.3685935854953,up
7040,442.0274963378906,88.02700805664062,714.317138671875,251,0.0,672.689253971773,up
7100,445.92657470703125,88.01128387451172,712.7576904296875,252,0.0,668.6680995585874,up
7150,449.20819091796875,88.00756072998047,711.4902954101562,254,0.0,665.3139136802275,up
7200,452.5157775878906,88.0119857788086,710.2415771484375,255,0.0,661.9532668611987,up
7250,455.846435546875,88.01862335205078,709.0040283203125,256,0.0,658.5834352096915,up
7300,459.19830322265625,88.02484130859375,707.772705078125,258,0.0,655.2027262445293,up
7350,462.5695495605469,88.0284423828125,706.5438842773438,259,0.0,651.8101842326876,up
7400,465.95916748046875,88.028564453125,705.3145141601562,260,0.0,648.4047281523093,up
7450,469.3663024902344,88.02579498291016,704.0823974609375,261,0.0,644.985810897187,up
7500,472.79217529296875,88.02153778076172,702.8519287109375,262,1.0,641.5554276347075,up
7550,476.2443542480469,88.01815795898438,701.6466064453125,264,1.0,638.1226490636265,up
7610,480.4291687011719,88.01819610595703,700.2591552734375,265,0.0,634.0110499383691,up
7660,483.9566650390625,88.02134704589844,699.1651611328125,266,0.0,630.5959117598379,up
7710,487.5204772949219,88.02520751953125,698.1317749023438,268,0.0,627.193931377151,up
7760,491.11456298828125,88.02730560302734,697.1415405273438,269,0.0,623.7990759851233,up
7810,494.7345886230469,88.0264892578125,696.1803588867188,270,0.0,620.4061068382831,up
7860,498.3775634765625,88.02301788330078,695.2379150390625,271,0.0,617.0111745595193,up
7910,502.0420837402344,88.01849365234375,694.3102416992188,273,1.0,613.6132942469876,up
7960,505.7322998046875,88.01484680175781,693.417236328125,274,1.0,610.2224334890162,up
8020,510.1985168457031,88.01383209228516,692.4151000976562,275,0.0,606.1755853928172,up
8070,513.9495239257812,88.00697326660156,691.6450805664062,276,0.0,602.8279601882884,up
8110,516.9613037109375,87.97122192382812,691.0558471679688,276,0.0,600.1596866563559,up
8170,521.4843139648438,87.84483337402344,690.2003173828125,276,0.0,596.1709743220512,up
8220,525.2477416992188,87.67105102539062,689.4891357421875,276,0.0,592.8519870417068,up
8270,529.0054931640625,87.43514251708984,688.7789916992188,275,0.0,589.5375008111426,up
8320,532.7582397460938,87.13723754882812,688.0698852539062,275,0.0,586.2270649711493,up
8370,536.505615234375,86.77740478515625,687.36181640625,275,0.0,582.9210241185648,up
8420,540.2473754882812,86.3556900024414,686.65478515625,274,0.0,579.619647597544,up
8470,543.9837646484375,85.87223815917969,685.9487915039062,274,0.0,576.3228724661525,up
8520,547.7152099609375,85.21068572998047,685.1031494140625,274,0.0,572.9247204480837,up
8570,551.4410400390625,84.7203598022461,684.5401611328125,273,0.0,569.7433938280118,up
8620,555.1612548828125,84.05216217041016,683.83740234375,273,0.0,566.4614541403264,up
8680,559.618896484375,83.16925048828125,682.995361328125,273,0.0,562.5297040385417,up
8730,563.3277587890625,82.36600494384766,682.2947998046875,273,0.0,559.2592933775309,up
8780,567.0310668945312,81.50152587890625,681.5953369140625,273,0.0,555.9948831099081,up
8830,570.7288208007812,80.57589721679688,680.89697265625,273,0.0,552.7367596369456,up
8880,574.4216918945312,79.58920288085938,680.1995849609375,273,0.0,549.4846668541318,up
8930,578.1092529296875,78.54153442382812,679.5032348632812,273,0.0,546.2392996919725,up
8980,581.7913208007812,77.43299865722656,678.8079223632812,273,0.0,543.0011615912574,up
9030,585.4678955078125,76.26367950439453,678.1136474609375,273,0.0,539.7706493688798,up
9090,589.8729248046875,74.78038787841797,677.2817993164062,273,0.0,535.904364129149,up
9130,592.8055419921875,73.74305725097656,676.7280883789062,273,0.0,533.3334608088531,up
9190,597.1978759765625,72.11445617675781,675.8988647460938,273,0.0,529.4880555174087,up
9240,600.8521118164062,70.69082641601562,675.2097778320312,274,0.0,526.2946587008022,up
9290,604.5008544921875,69.20689392089844,674.5217895507812,274,0.0,523.1114968720909,up
9340,608.1448364257812,67.6626968383789,673.8347778320312,274,0.0,519.9385583828396,up
9390,611.78369140625,66.05824279785156,673.1488037109375,274,0.0,516.7767665423294,up
9440,615.4170532226562,64.39380645751953,672.4638061523438,275,0.0,513.6270109374202,up
9490,619.044921875,62.669368743896484,671.7798461914062,275,0.0,510.49002225848443,up
9540,622.6672973632812,60.885047912597656,671.0969848632812,276,0.0,507.3665797202003,up
9590,626.2843627929688,59.04090881347656,670.4151000976562,276,0.0,504.2572384005193,up
9640,629.8968505859375,57.13705062866211,669.7342529296875,277,0.0,501.1623531586986,up
9700,634.2246704101562,54.77371597290039,668.9185180664062,277,0.0,497.4694791300845,up
9750,637.8252563476562,52.73877716064453,668.2398681640625,278,0.0,494.41063745801864,up
9800,641.4204711914062,50.644405364990234,667.5621948242188,279,0.0,491.3696107008659,up
9850,645.032958984375,48.471588134765625,666.9458618164062,288,0.0,488.3759939046677,up
9900,648.5685424804688,46.28718948364258,666.77392578125,291,0.0,485.7828732092822,up
9950,651.9783325195312,44.1148681640625,666.650634765625,287,0.0,483.3318292897922,up
10000,655.2940063476562,41.94892120361328,666.7031860351562,279,0.0,481.0967106265379,up
10050,658.5408325195312,39.897613525390625,666.7993774414062,260,0.0,478.9657329186926,up
10100,661.7633666992188,38.1038932800293,667.000732421875,252,0.0,476.95934703225157,up
10150,664.927001953125,36.38477325439453,667.1703491210938,245,0.0,474.9890214737113,up
10200,668.080810546875,34.871341705322266,667.27294921875,241,0.0,472.99762105529595,up
10250,671.1500854492188,33.39039611816406,667.3681030273438,236,0.0,471.0727042783354,up
10300,674.1306762695312,31.905691146850586,667.5184936523438,232,0.0,469.26356369541475,up
10360,677.5767822265625,30.12550163269043,667.72314453125,225,0.0,467.2158307602121,up
10410,680.4005126953125,28.813034057617188,667.9190673828125,219,0.0,465.5788609496857,up
10460,683.2069702148438,27.666759490966797,668.1759033203125,213,0.0,464.01680565490267,up
10510,685.965576171875,26.6053409576416,668.4574584960938,207,0.0,462.5189764243546,up
10560,688.662841796875,25.616104125976562,668.748779296875,197,0.0,461.08104651041054,up
10610,691.3873901367188,25.14947509765625,668.9463500976562,194,0.0,459.566865490418,up
10660,694.0512084960938,24.727996826171875,669.0445556640625,191,0.0,458.0223784778486,up
10710,696.6968994140625,24.357906341552734,669.0748291015625,188,0.0,456.4454036076079,up
10760,699.3275146484375,24.06660270690918,669.048828125,186,0.0,454.84265187304544,up
10810,701.9310913085938,24.094430923461914,669.0618286132812,183,0.0,453.2970763331842,up
10860,704.4796142578125,24.094913482666016,669.1141967773438,181,0.0,451.8255350143772,up
10920,707.4862670898438,24.01519203186035,669.20361328125,181,0.0,450.12419070294544,up
10970,710.0103149414062,24.03589630126953,669.2716674804688,183,0.0,448.7008403097177,up
11020,712.571044921875,24.022762298583984,669.328857421875,185,0.0,447.25708446192215,up
11070,715.1612548828125,24.00430679321289,669.3896484375,187,1.0,445.80932796468596,up
11120,717.777099609375,24.0125789642334,669.476806640625,189,1.0,444.37892144002456,up
11170,720.4166259765625,24.016769409179688,669.60400390625,191,0.0,442.9788640902619,up
11220,723.0792236328125,24.020490646362305,669.7809448242188,193,0.0,441.6182639270705,up
11270,725.7626342773438,24.025070190429688,670.0198974609375,195,0.0,440.3093985471363,up
11320,728.4674682617188,24.028335571289062,670.3104858398438,197,0.0,439.0442413724433,up
11370,731.1956176757812,24.028785705566406,670.6370849609375,199,0.0,437.80958106681175,up
11420,733.9490966796875,24.026315689086914,670.9893798828125,201,0.0,436.5964491966671,up
11470,736.724365234375,24.020545959472656,671.3607788085938,202,0.0,435.4019349816254,up
11530,740.0758666992188,24.01289176940918,671.8250122070312,204,0.0,433.99238859017436,up
11580,742.8858642578125,24.010881423950195,672.2247314453125,205,0.0,432.8363324634114,up
11630,745.7113647460938,24.013809204101562,672.6344604492188,206,0.0,431.69623943874905,up
11680,748.5534057617188,24.01753044128418,673.05224609375,207,0.0,430.57036200678954,up
11730,751.412109375,24.02082061767578,673.4769897460938,209,0.0,429.45815849303403,up
11780,754.28759765625,24.02292251586914,673.9075927734375,210,0.0,428.3590814557583,up
